,ID,clock,dv,expired,direction,manType,r
0,0,1588782938.1150594,[ 1.19189538 -0.          0.59465065],True,[ 0.89481635 -0.          0.44643443],t,[21210.8379296      0.           844.24191976]
1,1,1588791738.1150594,[ 0.98429799 -0.          0.49107787],True,[ 0.89481635 -0.          0.44643443],t,[-2921.8984672     0.        -2035.7466958]
