,clock,x,y,z
123,1588791356.9704008,-3933.7090144891017,3563.9620301086293,5077.962841427672
124,1588791357.9704008,-3941.785053981767,3559.8353086452976,5078.567646638
125,1588791358.9704008,-3949.8571334530684,3555.7050108773997,5079.167349785148
126,1588791359.9704008,-3957.9252492423725,3551.5711449591918,5079.761955987389
127,1588791360.9704008,-3965.989397709113,3547.433719037328,5080.351470366775
128,1588791361.9704008,-3974.049575232751,3543.292741250833,5080.935898049094
129,1588791362.9704008,-3982.1057782127373,3539.1482197310697,5081.515244163819
130,1588791363.9704008,-3990.158003068467,3535.000162601713,5082.089513844069
131,1588791364.9704008,-3998.2062462392455,3530.848577978719,5082.6587122265555
132,1588791365.9704008,-4006.2505041842414,3526.6934739702965,5083.222844451543
133,1588791366.9704008,-4014.290773382451,3522.5348586768805,5083.781915662803
134,1588791367.9704008,-4022.327050332655,3518.3727401911024,5084.3359310075675
135,1588791368.9704008,-4030.3593315533785,3514.2071265977606,5084.884895636484
136,1588791369.9704008,-4038.3876135828523,3510.0380259737967,5085.428814703571
137,1588791370.9704008,-4046.4118929789674,3505.8654463882644,5085.967693366177
138,1588791371.9704008,-4054.4321663192377,3501.6893959023027,5086.501536784928
139,1588791372.9704008,-4062.4484302007586,3497.50988256911,5087.030350123692
140,1588791373.9704008,-4070.4606812401657,3493.326914433916,5087.554138549528
141,1588791374.9704008,-4078.468916073593,3489.1404995339553,5088.072907232644
142,1588791375.9704008,-4086.4731313566317,3484.950645898442,5088.586661346356
143,1588791376.9704008,-4094.4733237642913,3480.757361548541,5089.095406067042
144,1588791377.9704008,-4102.4694899909555,3476.5606544973434,5089.599146574095
145,1588791378.9704008,-4110.461626750342,3472.3605327498403,5090.097888049888
146,1588791379.9704008,-4118.449730775461,3468.157004302897,5090.59163567972
147,1588791380.9704008,-4126.433798818575,3463.9500771452276,5091.080394651782
148,1588791381.9704008,-4134.413827651155,3459.7397592573693,5091.5641701571085
149,1588791382.9704008,-4142.389814063841,3455.5260586116574,5092.042967389539
150,1588791383.9704008,-4150.361754866401,3451.308983172201,5092.516791545669
151,1588791384.9704008,-4158.329646887684,3447.0885408948575,5092.985647824813
152,1588791385.9704008,-4166.293486975587,3442.8647397272075,5093.44954142896
153,1588791386.9704008,-4174.253271997007,3438.637587608533,5093.9084775627325
154,1588791387.9704008,-4182.2089988377975,3434.40709246979,5094.36246143334
155,1588791388.9704008,-4190.160664402735,3430.1732622335867,5094.811498250543
156,1588791389.9704008,-4198.1082656154695,3425.9361048141586,5095.255593226607
157,1588791390.9704008,-4206.051799418486,3421.695628117347,5095.694751576262
158,1588791391.9704008,-4213.99126277306,3417.4518400405727,5096.128978516663
159,1588791392.9704008,-4221.926652659221,3413.2047484728146,5096.558279267343
160,1588791393.9704008,-4229.857966075703,3408.9543612945877,5096.982659050179
161,1588791394.9704008,-4237.785200039909,3404.700686377917,5097.402123089344
162,1588791395.9704008,-4245.708351587863,3400.443731586319,5097.816676611271
163,1588791396.9704008,-4253.627417774175,3396.183504774776,5098.22632484461
164,1588791397.9704008,-4261.542395671991,3391.920013789717,5098.631073020186
165,1588791398.9704008,-4269.453282372955,3387.6532664689917,5099.030926370961
166,1588791399.9704008,-4277.360074987168,3383.383270641853,5099.425890131996
167,1588791400.9704008,-4285.262770643143,3379.1100341289325,5099.815969540403
168,1588791401.9704008,-4293.161366487763,3374.8335647422205,5100.201169835311
169,1588791402.9704008,-4301.05585968624,3370.5538702850436,5100.581496257823
170,1588791403.9704008,-4308.946247422072,3366.270958552045,5100.956954050981
171,1588791404.9704008,-4316.832526896998,3361.9848373291643,5101.327548459719
172,1588791405.9704008,-4324.714695330961,3357.695514393612,5101.693284730828
173,1588791406.9704008,-4332.592749962061,3353.402997513856,5102.054168112919
174,1588791407.9704008,-4340.466688046514,3349.1072944495963,5102.410203856378
175,1588791408.9704008,-4348.336506858608,3344.808412951747,5102.7613972133295
176,1588791409.9704008,-4356.202203690665,3340.506360762415,5103.107753437599
177,1588791410.9704008,-4364.063775852991,3336.2011456148834,5103.449277784673
178,1588791411.9704008,-4371.921220673842,3331.892775233587,5103.785975511658
179,1588791412.9704008,-4379.774535499374,3327.581257334098,5104.117851877248
180,1588791413.9704008,-4387.623717693604,3323.266599623103,5104.444912141677
181,1588791414.9704008,-4395.468764638365,3318.9488097983867,5104.767161566693
182,1588791415.9704008,-4403.309673733269,3314.627895548811,5105.084605415507
183,1588791416.9704008,-4411.146442395655,3310.303864554298,5105.397248952764
184,1588791417.9704008,-4418.979068060555,3305.9767244858094,5105.705097444503
185,1588791418.9704008,-4426.807548180646,3301.646483005332,5106.008156158117
186,1588791419.9704008,-4434.63188022621,3297.3131477658553,5106.306430362319
187,1588791420.9704008,-4442.452061685089,3292.976726411357,5106.5999253271
188,1588791421.9704008,-4450.268090062642,3288.6372265767827,5106.888646323699
189,1588791422.9704008,-4458.079962881706,3284.2946558880303,5107.172598624558
190,1588791423.9704008,-4465.88767768255,3279.949021961932,5107.451787503293
191,1588791424.9704008,-4473.691232022831,3275.600332406236,5107.7262182346485
192,1588791425.9704008,-4481.490623477554,3271.2485948195904,5107.995896094467
193,1588791426.9704008,-4489.285849639028,3266.8938167915276,5108.260826359651
194,1588791427.9704008,-4497.076908116823,3262.536005902446,5108.5210143081285
195,1588791428.9704008,-4504.863796537726,3258.175169723593,5108.7764652188125
196,1588791429.9704008,-4512.646512545699,3253.811315817051,5109.027184371569
197,1588791430.9704008,-4520.42505380184,3249.4444517357183,5109.273177047177
198,1588791431.9704008,-4528.199417984331,3245.074585023296,5109.514448527299
199,1588791432.9704008,-4535.969602788406,3240.70172321427,5109.751004094437
200,1588791433.9704008,-4543.735605926297,3236.3258738338955,5109.982849031906
201,1588791434.9704008,-4551.4974251272,3231.9470443981845,5110.209988623792
202,1588791435.9704008,-4559.255058137227,3227.565242413886,5110.432428154921
203,1588791436.9704008,-4567.008502719366,3223.1804753784745,5110.650172910819
204,1588791437.9704008,-4574.757756653436,3218.792750780133,5110.863228177683
205,1588791438.9704008,-4582.502817736045,3214.4020760977382,5111.071599242342
206,1588791439.9704008,-4590.243683780544,3210.008458800848,5111.275291392227
207,1588791440.9704008,-4597.980352616992,3205.6119063496844,5111.474309915328
208,1588791441.9704008,-4605.712822092103,3201.2124261951203,5111.668660100168
209,1588791442.9704008,-4613.441090069212,3196.8100257786664,5111.858347235768
210,1588791443.9704008,-4621.165154428224,3192.404712532456,5112.043376611607
211,1588791444.9704008,-4628.885013065578,3187.996493879231,5112.223753517595
212,1588791445.9704008,-4636.600663894199,3183.5853772323285,5112.399483244034
213,1588791446.9704008,-4644.312104843458,3179.171369995668,5112.570571081588
214,1588791447.9704008,-4652.019333859127,3174.754479563738,5112.737022321247
215,1588791448.9704008,-4659.72234890334,3170.334713321582,5112.898842254297
216,1588791449.9704008,-4667.421147954545,3165.9120786447857,5113.056036172282
217,1588791450.9704008,-4675.115729007462,3161.4865828994643,5113.208609366974
218,1588791451.9704008,-4682.806090073043,3157.058233442251,5113.356567130341
219,1588791452.9704008,-4690.4922291784305,3152.627037620283,5113.499914754513
220,1588791453.9704008,-4698.174144366907,3148.193002771189,5113.638657531748
221,1588791454.9704008,-4705.851833697859,3143.756136223079,5113.772800754402
222,1588791455.9704008,-4713.52529524673,3139.3164452945293,5113.902349714893
223,1588791456.9704008,-4721.194527104982,3134.873937294573,5114.027309705672
224,1588791457.9704008,-4728.859527380048,3130.428619522687,5114.147686019195
225,1588791458.9704008,-4736.520294195293,3125.9804992687814,5114.26348394788
226,1588791459.9704008,-4744.176825689968,3121.529583813188,5114.374708784082
227,1588791460.9704008,-4751.82912001917,3117.075880426647,5114.481365820065
228,1588791461.9704008,-4759.477175353796,3112.6193963702995,5114.583460347963
229,1588791462.9704008,-4767.120989880503,3108.160138895673,5114.680997659753
230,1588791463.9704008,-4774.760561801664,3103.698115244672,5114.773983047222
231,1588791464.9704008,-4782.3958893353265,3099.233332649568,5114.862421801937
232,1588791465.9704008,-4790.026970715168,3094.765798332989,5114.9463192152125
233,1588791466.9704008,-4797.653804190453,3090.2955195079085,5115.025680578083
234,1588791467.9704008,-4805.276388025994,3085.8225033776334,5115.100511181268
235,1588791468.9704008,-4812.894720502102,3081.3467571357987,5115.170816315145
236,1588791469.9704008,-4820.5087999145535,3076.868287966353,5115.236601269717
237,1588791470.9704008,-4828.118624574538,3072.3871030435507,5115.297871334583
238,1588791471.9704008,-4835.724192808621,3067.903209531943,5115.354631798907
239,1588791472.9704008,-4843.325502958701,3063.416614586368,5115.406887951389
240,1588791473.9704008,-4850.922553381964,3058.9273253519386,5115.454645080236
241,1588791474.9704008,-4858.515342450844,3054.435348964039,5115.497908473131
242,1588791475.9704008,-4866.103868552981,3049.9406925483095,5115.536683417203
243,1588791476.9704008,-4873.688130091175,3045.443363220643,5115.570975198997
244,1588791477.9704008,-4881.268125483344,3040.9433680871716,5115.600789104448
245,1588791478.9704008,-4888.843853162488,3036.4407142442624,5115.626130418848
246,1588791479.9704008,-4896.415311576637,3031.935408778505,5115.647004426819
247,1588791480.9704008,-4903.9824991888145,3027.427458766705,5115.663416412283
248,1588791481.9704008,-4911.545414476995,3022.916871275877,5115.675371658435
249,1588791482.9704008,-4919.104055934058,3018.4036533632343,5115.682875447713
250,1588791483.9704008,-4926.65842206775,3013.8878120761824,5115.685933061768
251,1588791484.9704008,-4934.208511400639,3009.3693544523107,5115.68454978144
252,1588791485.9704008,-4941.754322470074,3004.848287519386,5115.678730886725
253,1588791486.9704008,-4949.295853828143,3000.3246182953426,5115.66848165675
254,1588791487.9704008,-4956.833104041629,2995.7983537882774,5115.653807369744
255,1588791488.9704008,-4964.366071691969,2991.2695009964414,5115.634713303008
256,1588791489.9704008,-4971.894755375212,2986.7380669082327,5115.6112047328925
257,1588791490.9704008,-4979.419153701978,2982.2040585021905,5115.583286934765
258,1588791491.9704008,-4986.93926529741,2977.6674827469865,5115.550965182985
259,1588791492.9704008,-4994.455088801141,2973.1283466014193,5115.514244750875
260,1588791493.9704008,-5001.966622867246,2968.5866570144094,5115.473130910696
261,1588791494.9704008,-5009.4738661642,2964.0424209249895,5115.427628933618
262,1588791495.9704008,-5016.976817374841,2959.4956452623005,5115.377744089692
263,1588791496.9704008,-5024.475475196321,2954.9463369455852,5115.323481647829
264,1588791497.9704008,-5031.969838340069,2950.394502884181,5115.264846875765
265,1588791498.9704008,-5039.4599055317485,2945.8401499775155,5115.201845040042
266,1588791499.9704008,-5046.945675511213,2941.2832851151,5115.134481405978
267,1588791500.9704008,-5054.427147032468,2936.7239151765243,5115.062761237639
268,1588791501.9704008,-5061.904318863628,2932.16204703145,5114.986689797819
269,1588791502.9704008,-5069.377189786873,2927.5976875396073,5114.9062723480065
270,1588791503.9704008,-5076.845758598408,2923.0308435507873,5114.821514148363
271,1588791504.9704008,-5084.310024108423,2918.4615219048383,5114.732420457697
272,1588791505.9704008,-5091.769985141049,2913.8897294316607,5114.638996533437
273,1588791506.9704008,-5099.225640534316,2909.315472951202,5114.541247631608
274,1588791507.9704008,-5106.676989140115,2904.738759273452,5114.439179006802
275,1588791508.9704008,-5114.124029824155,2900.159595198439,5114.33279591216
276,1588791509.9704008,-5121.566761465918,2895.5779875162225,5114.222103599337
277,1588791510.9704008,-5129.005182958624,2890.993943006893,5114.107107318487
278,1588791511.9704008,-5136.439293209182,2886.407468440564,5113.987812318231
279,1588791512.9704008,-5143.869091138159,2881.818570577371,5113.864223845636
280,1588791513.9704008,-5151.294575679728,2877.227256167464,5113.7363471461895
281,1588791514.9704008,-5158.715745781633,2872.633531951007,5113.604187463774
282,1588791515.9704008,-5166.132600405146,2868.037404658173,5113.467750040642
283,1588791516.9704008,-5173.545138525027,2863.4388810091386,5113.327040117396
284,1588791517.9704008,-5180.953359129481,2858.837967714084,5113.182062932959
285,1588791518.9704008,-5188.357261220119,2854.2346714731852,5113.032823724553
286,1588791519.9704008,-5195.756843811916,2849.628998976615,5112.879327727679
287,1588791520.9704008,-5203.152105933171,2845.020956904538,5112.721580176084
288,1588791521.9704008,-5210.543046625464,2840.4105519271056,5112.559586301746
289,1588791522.9704008,-5217.929664943616,2835.797790704457,5112.393351334847
290,1588791523.9704008,-5225.31195995565,2831.1826798867123,5112.222880503748
291,1588791524.9704008,-5232.689930742749,2826.5652261139735,5112.0481790349695
292,1588791525.9704008,-5240.063576399214,2821.945436016319,5111.869252153166
293,1588791526.9704008,-5247.432896032426,2817.323316213803,5111.686105081103
294,1588791527.9704008,-5254.7978887628005,2812.6988733164526,5111.498743039634
295,1588791528.9704008,-5262.158553723755,2808.0721139242637,5111.30717124768
296,1588791529.9704008,-5269.514890061662,2803.4430446272017,5111.111394922204
297,1588791530.9704008,-5276.86689693581,2798.811672005199,5110.91141927819
298,1588791531.9704008,-5284.214573518363,2794.1780026281504,5110.70724952862
299,1588791532.9704008,-5291.557918994321,2789.542043055914,5110.498890884452
300,1588791533.9704008,-5298.896932561481,2784.903799838309,5110.286348554598
301,1588791534.9704008,-5306.231613430392,2780.263279515114,5110.0696277459
302,1588791535.9704008,-5313.561960824319,2775.620488616064,5109.848733663113
303,1588791536.9704008,-5320.887973979203,2770.9754336608516,5109.623671508878
304,1588791537.9704008,-5328.209652143618,2766.328121159124,5109.394446483702
305,1588791538.9704008,-5335.526994578733,2761.6785576104808,5109.1610637859385
306,1588791539.9704008,-5342.840000558272,2757.026749504476,5108.923528611761
307,1588791540.9704008,-5350.148669368473,2752.372703320615,5108.681846155148
308,1588791541.9704008,-5357.453000308048,2747.716425528354,5108.4360216078585
309,1588791542.9704008,-5364.752992688145,2743.0579225870993,5108.186060159409
310,1588791543.9704008,-5372.048645832307,2738.397200946207,5107.931966997056
311,1588791544.9704008,-5379.339959076431,2733.7342670449816,5107.673747305775
312,1588791545.9704008,-5386.626931768731,2729.0691273126763,5107.411406268236
313,1588791546.9704008,-5393.909563269698,2724.401788168493,5107.144949064787
314,1588791547.9704008,-5401.187852952056,2719.7322560215807,5106.874380873432
315,1588791548.9704008,-5408.46180020073,2715.060537271037,5106.599706869808
316,1588791549.9704008,-5415.731404412799,2710.3866383059067,5106.320932227171
317,1588791550.9704008,-5422.996664997461,2705.710565505182,5106.0380621163695
318,1588791551.9704008,-5430.257581375996,2701.0323252378034,5105.751101705827
319,1588791552.9704008,-5437.514152981718,2696.351923862661,5105.4600561615225
320,1588791553.9704008,-5444.766379259947,2691.6693677285916,5105.164930646971
321,1588791554.9704008,-5452.014259667958,2686.984663174382,5104.865730323201
322,1588791555.9704008,-5459.257793674953,2682.2978165287677,5104.562460348739
323,1588791556.9704008,-5466.4969807620155,2677.6088341104355,5104.255125879586
324,1588791557.9704008,-5473.731820422072,2672.9177222280227,5103.9437320692
325,1588791558.9704008,-5480.962312159854,2668.2244871801176,5103.62828406848
326,1588791559.9704008,-5488.188455491861,2663.529135255263,5103.308787025739
327,1588791560.9704008,-5495.410249946317,2658.8316727319543,5102.98524608669
328,1588791561.9704008,-5502.627695063138,2654.132105878641,5102.65766639443
329,1588791562.9704008,-5509.840790393886,2649.4304409537303,5102.326053089415
330,1588791563.9704008,-5517.049535501738,2644.726684205586,5101.990411309445
331,1588791564.9704008,-5524.253929961442,2640.020841872531,5101.6507461896435
332,1588791565.9704008,-5531.453973359278,2635.312920182848,5101.30706286244
333,1588791566.9704008,-5538.6496652930255,2630.6029253547817,5100.959366457553
334,1588791567.9704008,-5545.841005371919,2625.890863596541,5100.607662101968
335,1588791568.9704008,-5553.027993216613,2621.1767411062992,5100.251954919925
336,1588791569.9704008,-5560.210628459143,2616.460564072197,5099.892250032894
337,1588791570.9704008,-5567.388910742885,2611.742338672345,5099.528552559559
338,1588791571.9704008,-5574.562839722522,2607.0220710748235,5099.160867615805
339,1588791572.9704008,-5581.7324150640015,2602.299767437687,5098.789200314694
340,1588791573.9704008,-5588.897636444499,2597.575433908966,5098.413555766451
341,1588791574.9704008,-5596.058503552382,2592.8490766266664,5098.033939078447
342,1588791575.9704008,-5603.215016087169,2588.1207017187767,5097.650355355174
343,1588791576.9704008,-5610.367173759494,2583.390315303267,5097.262809698239
344,1588791577.9704008,-5617.514976291068,2578.657923488093,5096.871307206341
345,1588791578.9704008,-5624.65842341464,2573.9235323711964,5096.475852975253
346,1588791579.9704008,-5631.7975148739615,2569.1871480405116,5096.0764520978055
347,1588791580.9704008,-5638.932250423748,2564.4487765739655,5095.673109663873
348,1588791581.9704008,-5646.062629829641,2559.70842403948,5095.265830760353
349,1588791582.9704008,-5653.18865286817,2554.966096494978,5094.85462047115
350,1588791583.9704008,-5660.310319326718,2550.2217999883837,5094.439483877163
351,1588791584.9704008,-5667.427629003482,2545.475540557626,5094.020426056263
352,1588791585.9704008,-5674.540581707434,2540.7273242306433,5093.597452083282
353,1588791586.9704008,-5681.6491772582895,2535.9771570253856,5093.170567029993
354,1588791587.9704008,-5688.7534154864625,2531.225044949818,5092.739775965095
355,1588791588.9704008,-5695.8532962330355,2526.4709940019234,5092.305083954198
356,1588791589.9704008,-5702.948819349719,2521.7150101697084,5091.866496059807
357,1588791590.9704008,-5710.039984698816,2516.9570994312044,5091.424017341302
358,1588791591.9704008,-5717.126792153183,2512.1972677544727,5090.977652854927
359,1588791592.9704008,-5724.209241596195,2507.4355210976073,5090.527407653776
360,1588791593.9704008,-5731.287332921711,2502.67186540874,5090.073286787771
361,1588791594.9704008,-5738.361066034031,2497.9063066260433,5089.615295303652
362,1588791595.9704008,-5745.430440847866,2493.1388506777344,5089.153438244956
363,1588791596.9704008,-5752.495457288297,2488.3695034820803,5088.68772065201
364,1588791597.9704008,-5759.556115290742,2483.5982709474006,5088.218147561908
365,1588791598.9704008,-5766.612414800916,2478.825158972073,5087.744724008501
366,1588791599.9704008,-5773.664355774797,2474.050173444536,5087.267455022378
367,1588791600.9704008,-5780.711938178591,2469.2733202432955,5086.786345630857
368,1588791601.9704008,-5787.755161988692,2464.494605236927,5086.301400857962
369,1588791602.9704008,-5794.79402719165,2459.714034284081,5085.812625724417
370,1588791603.9704008,-5801.82853378413,2454.9316132334893,5085.320025247623
371,1588791604.9704008,-5808.858681772882,2450.1473479239658,5084.823604441652
