,clock,x,y,z
0,1588758815.2380505,-8739.266056768694,4858.230280870699,151.08715048011638
1,1588758816.2380505,-8742.33251081921,4852.711779519631,151.031967418244
2,1588758817.2380505,-8745.395480172247,4847.191343875572,150.9767241549648
3,1588758818.2380505,-8748.454963606904,4841.66897613897,150.92142071229878
4,1588758819.2380505,-8751.51095990367,4836.144678511042,150.8660571122899
5,1588758820.2380505,-8754.563467844424,4830.618453193777,150.81063337700613
6,1588758821.2380505,-8757.612486212434,4825.090302389931,150.7551495285394
7,1588758822.2380505,-8760.658013792361,4819.560228303026,150.69960558900556
8,1588758823.2380505,-8763.700049370256,4814.028233137353,150.64400158054448
9,1588758824.2380505,-8766.738591733563,4808.494319097967,150.58833752531993
10,1588758825.2380505,-8769.773639671117,4802.958488390688,150.53261344551964
11,1588758826.2380505,-8772.805191973148,4797.420743222101,150.47682936335522
12,1588758827.2380505,-8775.833247431276,4791.881085799553,150.42098530106225
13,1588758828.2380505,-8778.857804838517,4786.339518331156,150.3650812809002
14,1588758829.2380505,-8781.878862989282,4780.796043025779,150.3091173251524
15,1588758830.2380505,-8784.896420679377,4775.250662093054,150.25309345612618
16,1588758831.2380505,-8787.910476706,4769.7033777433735,150.19700969615263
17,1588758832.2380505,-8790.921029867748,4764.154192187885,150.14086606758678
18,1588758833.2380505,-8793.928078964613,4758.603107638499,150.0846625928075
19,1588758834.2380505,-8796.931622797983,4753.050126307879,150.02839929421748
20,1588758835.2380505,-8799.931660170647,4747.495250409444,149.97207619424333
21,1588758836.2380505,-8802.928189886785,4741.938482157373,149.91569331533546
22,1588758837.2380505,-8805.921210751982,4736.379823766594,149.8592506799681
23,1588758838.2380505,-8808.910721573217,4730.8192774527915,149.80274831063932
24,1588758839.2380505,-8811.89672115887,4725.256845432401,149.74618622987097
25,1588758840.2380505,-8814.879208318722,4719.69252992261,149.68956446020877
26,1588758841.2380505,-8817.858181863949,4714.126333141359,149.63288302422214
27,1588758842.2380505,-8820.833640607134,4708.558257307335,149.57614194450434
28,1588758843.2380505,-8823.805583362257,4702.988304639976,149.51934124367236
29,1588758844.2380505,-8826.7740089447,4697.4164773594675,149.462480944367
30,1588758845.2380505,-8829.738916171245,4691.84277768674,149.4055610692528
31,1588758846.2380505,-8832.700303860083,4686.267207843475,149.34858164101806
32,1588758847.2380505,-8835.658170830802,4680.689770052097,149.2915426823748
33,1588758848.2380505,-8838.612515904393,4675.110466535773,149.23444421605873
34,1588758849.2380505,-8841.563337903255,4669.529299518418,149.17728626482938
35,1588758850.2380505,-8844.51063565119,4663.946271224688,149.1200688514699
