Altitude,Density
0,0.015026759563140498
1000,0.013790259524208072
2000,0.012655723547728556
3000,0.011614727359091088
4000,0.010659543908303506
5000,0.009783085573517484
6000,0.008978851162562524
7000,0.008240877313646063
8000,0.009036991441972722
9000,0.008353812844543658
10000,0.007723294952467379
11000,0.007141325669947445
12000,0.0066041171967955335
13000,0.0061081802524442065
14000,0.005650300361952442
15000,0.005227516038161816
16000,0.004837098707561221
17000,0.004476534239731154
18000,0.004143505951552957
19000,0.0038358789677657794
20000,0.003551685829008425
21000,0.0032891132472639096
22000,0.0030464899166937603
23000,0.002822275295265132
24000,0.0026150492793895583
25000,0.002423502700056437
26000,0.0022464285747019644
27000,0.0020827140543462886
28000,0.001931333010396003
29000,0.001791339209980439
30000,0.0016618600328003744
31000,0.0015420906862461375
32000,0.0014312888790155378
33000,0.001328769916655262
34000,0.0012339021853851248
35000,0.001146102993263725
36000,0.0010648347402357227
37000,0.0009896013908828499
38000,0.0009199452257990308
39000,0.0008554438494394875
40000,0.0007957074340681614
41000,0.0007403761810597483
42000,0.0006891179823136707
43000,0.000641626265918045
44000,0.0005976180114719463
45000,0.0005568319216429724
46000,0.0005190267376126162
47000,0.0004839796870518975
48000,0.0004514850541810699
49000,0.0004213528623066365
50000,0.0003934076600022734
51000,0.0003674874028132658
52000,0.0003434424230218569
53000,0.00032113448061838005
54000,0.0003004358891847751
55000,0.00028122871091743225
56000,0.0002634040154994178
57000,0.00024686119798212263
58000,0.0002315073512572492
59000,0.00021725668909594774
60000,0.00020403001610713528
61000,0.00019175424132624272
62000,0.000180361932494056
63000,0.0001697909084290347
64000,0.00015998386724281236
65000,0.0001508880485066296
66000,0.0001424549278579005
67000,0.00013463994295636234
68000,0.0001274022501789908
69000,0.00012070451201052883
70000,0.00011451271578179612
71000,0.00010879602528738579
72000,0.0001035266679594106
73000,9.86798618041318e-05
74000,9.423378840157137e-05
75000,9.016962119410148e-05
76000,8.647162246374281e-05
77000,8.312732847115107e-05
78000,8.012785124532567e-05
79000,7.746833917882704e-05
80000,7.514865975828043e-05
81000,7.317440136139483e-05
82000,7.155834578325924e-05
83000,7.032265492682994e-05
84000,6.950217406317868e-05
85000,6.914953979320204e-05
86000,6.934331658551186e-05
87000,7.020144083394488e-05
88000,7.190445269494642e-05
89000,7.47379172327901e-05
90000,7.917540614753294e-05
91000,8.605576942431376e-05
92000,9.700876680634617e-05
93000,0.00011565847696131956
94000,0.0001519884320202929
95000,0.00023475277562225852
96000,0.00021454788247016142
97000,0.00019608200052338682
98000,0.00017920545514869254
99000,0.0001637814540311145
100000,0.0001496849784081017
101000,0.0001368017697338146
102000,0.0001250274035600268
103000,0.00011426644312699928
104000,0.00010443166580378586
105000,9.544335610790281e-05
106000,8.722865957395955e-05
107000,7.972099223404932e-05
108000,7.285950092346308e-05
109000,6.658857003725077e-05
110000,6.08573707396608e-05
111000,5.561944897258876e-05
112000,5.083234892365066e-05
113000,4.6457268901912685e-05
114000,4.2458746831989235e-05
115000,3.880437281729086e-05
116000,3.5464526442613275e-05
117000,3.2412136686780364e-05
118000,2.9622462499322242e-05
119000,2.707289226265809e-05
120000,2.4742760514331376e-05
121000,2.261318044374502e-05
122000,2.0666890805704048e-05
123000,1.888811600992815e-05
124000,1.7262438252494098e-05
125000,1.5776680652773323e-05
126000,1.441880044863478e-05
127000,1.3177791384210079e-05
128000,1.2043594499028098e-05
129000,1.1007016595422795e-05
130000,1.0059655723354836e-05
131000,9.19383307866618e-06
132000,8.402530762771207e-06
133000,7.679334899297449e-06
134000,7.0183836466096255e-06
135000,6.414319684834141e-06
136000,5.862246792269038e-06
137000,5.357690159210898e-06
138000,4.896560117523611e-06
139000,4.475118991960172e-06
140000,4.089950804551944e-06
141000,3.7379335865051725e-06
142000,3.4162140731798053e-06
143000,3.1221845770414705e-06
144000,2.85346185113106e-06
145000,2.607867771730443e-06
146000,2.3834116836482403e-06
147000,2.1782742650259303e-06
148000,1.9907927808809623e-06
149000,1.8194476058599423e-06
150000,1.662849906962476e-06
151000,1.5197303863983646e-06
152000,1.3889289933337591e-06
153000,1.2693855211350966e-06
154000,1.1601310138971346e-06
155000,1.06027991260092e-06
156000,9.690228772426333e-07
157000,8.856202267532958e-07
158000,8.093959435368135e-07
159000,7.397321940303243e-07
160000,6.760643208734204e-07
161000,6.178762660954331e-07
162000,5.646963882235602e-07
163000,5.16093639407539e-07
164000,4.716740715746741e-07
165000,4.310776432959481e-07
166000,3.9397530148139364e-07
167000,3.600663142504796e-07
168000,3.290758333591833e-07
